episode,reward,epsilon,lr_per_ep
114,12.0,0.962,5e-05
115,20.0,0.9616666666666667,5e-05
116,17.0,0.9613333333333334,5e-05
117,8.0,0.961,5e-05
118,12.0,0.9606666666666667,5e-05
119,26.0,0.9603333333333334,5e-05
120,18.0,0.96,5e-05
121,40.0,0.9596666666666667,5e-05
122,13.0,0.9593333333333334,5e-05
123,24.0,0.959,5e-05
124,32.0,0.9586666666666667,5e-05
125,16.0,0.9583333333333334,5e-05
126,18.0,0.958,5e-05
127,29.0,0.9576666666666667,5e-05
128,20.0,0.9573333333333334,5e-05
129,20.0,0.957,5e-05
130,16.0,0.9566666666666667,5e-05
131,15.0,0.9563333333333334,5e-05
132,21.0,0.956,5e-05
133,19.0,0.9556666666666667,5e-05
134,10.0,0.9553333333333334,5e-05
135,24.0,0.955,5e-05
136,16.0,0.9546666666666667,5e-05
137,43.0,0.9543333333333334,5e-05
138,14.0,0.954,5e-05
139,12.0,0.9536666666666667,5e-05
140,22.0,0.9533333333333334,5e-05
141,50.0,0.953,5e-05
142,23.0,0.9526666666666667,5e-05
143,23.0,0.9523333333333334,5e-05
144,43.0,0.952,5e-05
145,16.0,0.9516666666666667,5e-05
146,10.0,0.9513333333333334,5e-05
147,9.0,0.951,5e-05
148,16.0,0.9506666666666667,5e-05
149,37.0,0.9503333333333334,5e-05
150,16.0,0.95,5e-05
151,28.0,0.9496666666666667,5e-05
152,38.0,0.9493333333333334,5e-05
153,25.0,0.949,5e-05
154,21.0,0.9486666666666667,5e-05
155,29.0,0.9483333333333334,5e-05
156,14.0,0.948,5e-05
157,24.0,0.9476666666666667,5e-05
158,25.0,0.9473333333333334,5e-05
159,25.0,0.947,5e-05
160,12.0,0.9466666666666667,5e-05
161,13.0,0.9463333333333334,5e-05
162,19.0,0.946,5e-05
163,11.0,0.9456666666666667,5e-05
164,22.0,0.9453333333333334,5e-05
165,18.0,0.945,5e-05
166,10.0,0.9446666666666667,5e-05
167,19.0,0.9443333333333334,5e-05
168,26.0,0.944,5e-05
169,14.0,0.9436666666666667,5e-05
170,10.0,0.9433333333333334,5e-05
171,11.0,0.943,5e-05
172,10.0,0.9426666666666667,5e-05
173,30.0,0.9423333333333334,5e-05
174,11.0,0.942,5e-05
175,10.0,0.9416666666666667,5e-05
176,12.0,0.9413333333333334,5e-05
177,34.0,0.9410000000000001,5e-05
178,19.0,0.9406666666666667,5e-05
179,9.0,0.9403333333333334,5e-05
180,19.0,0.94,5e-05
181,20.0,0.9396666666666667,5e-05
182,25.0,0.9393333333333334,5e-05
183,17.0,0.9390000000000001,5e-05
184,12.0,0.9386666666666666,5e-05
185,17.0,0.9383333333333334,5e-05
186,12.0,0.938,5e-05
187,19.0,0.9376666666666666,5e-05
188,8.0,0.9373333333333334,5e-05
189,14.0,0.937,5e-05
190,14.0,0.9366666666666666,5e-05
191,19.0,0.9363333333333334,5e-05
192,14.0,0.9359999999999999,5e-05
193,9.0,0.9356666666666666,5e-05
194,19.0,0.9353333333333333,5e-05
195,12.0,0.935,5e-05
196,20.0,0.9346666666666666,5e-05
197,14.0,0.9343333333333333,5e-05
198,30.0,0.9339999999999999,5e-05
199,18.0,0.9336666666666666,5e-05
200,31.0,0.9333333333333333,5e-05
201,24.0,0.933,5e-05
202,9.0,0.9326666666666666,5e-05
203,11.0,0.9323333333333333,5e-05
204,20.0,0.9319999999999999,5e-05
205,15.0,0.9316666666666666,5e-05
206,16.0,0.9313333333333333,5e-05
207,20.0,0.931,5e-05
208,18.0,0.9306666666666666,5e-05
209,11.0,0.9303333333333333,5e-05
210,32.0,0.9299999999999999,5e-05
211,27.0,0.9296666666666666,5e-05
212,13.0,0.9293333333333333,5e-05
213,16.0,0.929,5e-05
214,13.0,0.9286666666666666,5e-05
215,21.0,0.9283333333333333,5e-05
216,23.0,0.928,5e-05
217,34.0,0.9276666666666666,5e-05
218,9.0,0.9273333333333333,5e-05
219,48.0,0.927,5e-05
220,24.0,0.9266666666666666,5e-05
221,15.0,0.9263333333333333,5e-05
222,41.0,0.926,5e-05
223,15.0,0.9256666666666666,5e-05
224,25.0,0.9253333333333333,5e-05
225,27.0,0.925,5e-05
226,18.0,0.9246666666666666,5e-05
227,20.0,0.9243333333333333,5e-05
228,20.0,0.924,5e-05
229,29.0,0.9236666666666666,5e-05
230,25.0,0.9233333333333333,5e-05
231,10.0,0.923,5e-05
232,26.0,0.9226666666666666,5e-05
233,12.0,0.9223333333333333,5e-05
234,40.0,0.922,5e-05
235,11.0,0.9216666666666666,5e-05
236,45.0,0.9213333333333333,5e-05
237,11.0,0.921,5e-05
238,16.0,0.9206666666666666,5e-05
239,28.0,0.9203333333333333,5e-05
240,27.0,0.92,5e-05
241,19.0,0.9196666666666666,5e-05
242,19.0,0.9193333333333333,5e-05
243,28.0,0.919,5e-05
244,99.0,0.9186666666666666,5e-05
245,25.0,0.9183333333333333,5e-05
246,13.0,0.918,5e-05
247,14.0,0.9176666666666666,5e-05
248,26.0,0.9173333333333333,5e-05
249,12.0,0.917,5e-05
250,21.0,0.9166666666666666,5e-05
251,23.0,0.9163333333333333,5e-05
252,14.0,0.916,5e-05
253,15.0,0.9156666666666666,5e-05
254,12.0,0.9153333333333333,5e-05
255,47.0,0.915,5e-05
256,23.0,0.9146666666666666,5e-05
257,15.0,0.9143333333333333,5e-05
258,24.0,0.914,5e-05
259,30.0,0.9136666666666666,5e-05
260,23.0,0.9133333333333333,5e-05
261,17.0,0.913,5e-05
262,19.0,0.9126666666666666,5e-05
263,28.0,0.9123333333333333,5e-05
264,32.0,0.912,5e-05
265,46.0,0.9116666666666666,5e-05
266,13.0,0.9113333333333333,5e-05
267,26.0,0.911,5e-05
268,47.0,0.9106666666666666,5e-05
269,30.0,0.9103333333333333,5e-05
270,25.0,0.91,5e-05
271,54.0,0.9096666666666666,5e-05
272,25.0,0.9093333333333333,5e-05
273,41.0,0.909,5e-05
274,11.0,0.9086666666666666,5e-05
275,12.0,0.9083333333333333,5e-05
276,45.0,0.908,5e-05
277,24.0,0.9076666666666666,5e-05
278,58.0,0.9073333333333333,5e-05
279,14.0,0.907,5e-05
280,14.0,0.9066666666666666,5e-05
281,36.0,0.9063333333333333,5e-05
282,74.0,0.906,5e-05
283,31.0,0.9056666666666666,5e-05
284,15.0,0.9053333333333333,5e-05
285,15.0,0.905,5e-05
286,39.0,0.9046666666666666,5e-05
287,19.0,0.9043333333333333,5e-05
288,19.0,0.904,5e-05
289,24.0,0.9036666666666666,5e-05
290,32.0,0.9033333333333333,5e-05
291,18.0,0.903,5e-05
292,16.0,0.9026666666666667,5e-05
293,53.0,0.9023333333333333,5e-05
294,48.0,0.902,5e-05
295,22.0,0.9016666666666666,5e-05
296,23.0,0.9013333333333333,5e-05
297,18.0,0.901,5e-05
298,14.0,0.9006666666666667,5e-05
299,27.0,0.9003333333333333,5e-05
300,25.0,0.9,5e-05
301,18.0,0.8996666666666666,5e-05
302,24.0,0.8993333333333333,5e-05
303,65.0,0.899,5e-05
304,18.0,0.8986666666666667,5e-05
305,41.0,0.8983333333333333,5e-05
306,25.0,0.898,5e-05
307,25.0,0.8976666666666666,5e-05
308,14.0,0.8973333333333333,5e-05
309,27.0,0.897,5e-05
310,16.0,0.8966666666666667,5e-05
311,12.0,0.8963333333333333,5e-05
312,14.0,0.896,5e-05
313,14.0,0.8956666666666666,5e-05
314,14.0,0.8953333333333333,5e-05
315,37.0,0.895,5e-05
316,24.0,0.8946666666666667,5e-05
317,32.0,0.8943333333333333,5e-05
318,37.0,0.894,5e-05
319,16.0,0.8936666666666666,5e-05
320,28.0,0.8933333333333333,5e-05
321,62.0,0.893,5e-05
322,32.0,0.8926666666666667,5e-05
323,39.0,0.8923333333333333,5e-05
324,14.0,0.892,5e-05
325,24.0,0.8916666666666666,5e-05
326,15.0,0.8913333333333333,5e-05
327,22.0,0.891,5e-05
328,15.0,0.8906666666666667,5e-05
329,37.0,0.8903333333333333,5e-05
